,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
0,Feature_1,"('Bwd_Pkt_Length_Max', 0.4321718724387804)","('Bwd_Segment_Size_Mean', 0.06479943731326662)","('Bwd_Pkt_Length_Max', 0.7066348)","('Bwd_Pkt_Length_Max', 0.17813608910486856)","('Fwd_Init_Win_Bytes', 0.052314072135577656)","('Bwd_Pkt_Length_Max', 0.8722749)"
1,Feature_2,"('Fwd_IAT_Min', 0.09638106984906894)","('Bwd_Pkt_Length_Max', 0.05768429926659383)","('Bwd_Pkt_Length_Mean', 0.046133853)","('Pkt_Length_Min', 0.13232021964005997)","('Pkt_Size_Mean', 0.033927197406239375)","('Pkt_Length_Min', 0.014750869)"
2,Feature_3,"('ACK_Flag_Count', 0.09033950805271436)","('Fwd_Init_Win_Bytes', 0.051959549429500464)","('Fwd_Pkt_Length_Std', 0.02572131)","('Fwd_Init_Win_Bytes', 0.07129227402814149)","('Pkt_Length_Min', 0.03362226368219828)","('ACK_Flag_Count', 0.01015347)"
3,Feature_4,"('Bwd_Pkts_Sec', 0.04781227881326841)","('Bwd_Pkt_Length_Mean', 0.051723724983398243)","('ACK_Flag_Count', 0.023738889)","('Flow_Bytes_Sec', 0.05254508982369269)","('Flow_IAT_Mean', 0.03229548261837191)","('CWE_Flag_Count', 0.008745772)"
4,Feature_5,"('Pkt_Size_Mean', 0.047542461074881436)","('Pkt_Length_Var', 0.05011734358632702)","('Bwd_Pkts_Sec', 0.018046636)","('ACK_Flag_Count', 0.04822122872673132)","('Fwd_Pkt_Length_Min', 0.02929883891176453)","('Time_Idle_Std', 0.0071296976)"
5,Feature_6,"('Fwd_Pkt_Length_Std', 0.047491182791384416)","('Pkt_Length_Min', 0.03474782546490374)","('Bwd_Header_Length', 0.01647789)","('Fwd_IAT_Min', 0.048125155685704676)","('Fwd_Segment_Size_Mean', 0.029189954369181214)","('PSH_Flag_Count', 0.005871469)"
6,Feature_7,"('Fwd_Init_Win_Bytes', 0.041885485142335525)","('Bwd_Subflow_Bytes', 0.03389031994987526)","('PSH_Flag_Count', 0.015690256)","('Flow_IAT_Max', 0.04057134077946873)","('Pkt_Length_Mean', 0.02841634731314821)","('Bwd_Header_Length', 0.0050045243)"
7,Feature_8,"('Bwd_Header_Length', 0.03417186684692964)","('Fwd_Pkt_Length_Min', 0.031065625410276246)","('Fwd_IAT_Min', 0.015220775)","('Bwd_Pkts_Sec', 0.02851069734541092)","('Bwd_Segment_Size_Mean', 0.027442983138788266)","('Fwd_Total_Bytes', 0.0049487054)"
8,Feature_9,"('Bwd_Init_Win_Bytes', 0.029978998366472578)","('Bwd_Total_Bytes', 0.02808381988258205)","('Fwd_Total_Pkts', 0.015060951)","('Fwd_Subflow_Bytes', 0.027439768028378247)","('Fwd_Pkts_Sec', 0.02733519211706754)","('UDP', 0.004383982)"
9,Feature_10,"('URG_Flag_Count', 0.028887571059214186)","('Pkt_Length_Std', 0.026423405011124897)","('Pkt_Size_Mean', 0.011617822)","('Bwd_Header_Length', 0.027045377146699245)","('Flow_IAT_Max', 0.02732665349636803)","('URG_Flag_Count', 0.0042051356)"
